,business_risk
0,0.2910303
1,-6.1113024
2,-6.1113024
3,1.0087156
4,-1.6398237
5,-5.655274
6,2.3194315
7,0.8210246
8,1.4634793
9,-6.1113024
10,2.3078022
11,2.124755
12,1.3544044
13,-6.1113024
14,-0.32633233
15,-0.75970817
16,0.030560553
17,-0.13131166
18,1.7590481
19,1.3288503
20,4.285032
21,4.3706636
22,-6.1113024
23,0.9715097
24,-5.6235247
25,-6.1113024
26,-6.1113024
27,3.8865619
28,-6.1113024
29,1.0856299
30,2.3746605
31,-6.1113024
32,1.3919203
33,-6.1113024
34,-5.962166
35,0.34396735
36,1.0988728
37,-4.517102
38,0.15541679
39,2.5449078
40,4.272684
41,-6.1113024
42,8.093916
43,-0.37103933
44,-4.915097
45,-6.1113024
46,-0.017391562
47,3.690494
48,0.25720847
49,-6.1113024
50,3.6278389
51,-6.1113024
52,-1.0296803
53,4.4322476
54,-1.9333956
55,-6.1113024
56,1.466339
57,-5.584744
58,1.6444193
59,-6.1113024
60,-0.6288127
61,3.4471805
62,-6.0364313
63,5.484758
64,1.192246
65,-0.30002302
66,-0.0058637857
67,-6.1113024
68,-6.1113024
69,-0.15671909
70,-5.584744
71,-3.4608886
72,0.39591748
73,1.3246309
74,1.1675104
75,3.3059227
76,0.54218775
77,-6.040889
78,0.8280864
79,-1.4667138
80,4.04325
81,-5.514216
82,-6.1113024
83,1.6572539
84,1.153439
85,1.7010039
86,-6.1113024
87,3.3088448
88,1.3595693
89,2.1644568
90,-5.687625
91,0.9114743
92,-6.1113024
93,-6.1113024
94,0.16128936
95,-6.1113024
96,-6.1113024
97,4.3904247
98,-6.1113024
99,-6.1113024
100,-6.1113024
101,1.5796688
102,-0.00026249886
103,-0.52676487
104,-6.1113024
105,-6.1113024
106,-6.0364313
107,1.7297335
108,-2.3520563
109,-1.1259507
110,-1.5526288
111,-0.5720179
112,-1.8708885
113,-6.1113024
114,-6.1113024
115,4.9812665
116,-0.11399472
117,-1.5366893
118,-0.14200693
119,-2.2238472
120,0.42815268
121,1.0942404
122,0.90706766
123,-0.2373333
124,1.6718189
125,3.3746994
126,-0.8043966
127,1.4747082
128,3.735108
129,-6.1113024
130,1.4252754
131,-6.1113024
132,-2.8905783
133,-0.3735221
134,1.1355411
135,2.4682484
136,-2.876283
137,2.3733144
138,-6.1113024
139,1.5596246
140,1.2044127
141,0.33820385
142,1.1875896
143,-2.829611
144,1.818374
145,0.3148273
146,-0.77670836
147,-6.075763
148,-2.4273865
149,-5.0083346
150,1.1493053
151,-4.2706885
152,0.87125885
153,-6.1113024
154,1.3027585
155,0.1243791
156,-6.1113024
157,-6.1113024
158,-2.8752937
159,-4.6743193
160,-2.797323
161,5.1379285
162,-4.8475995
163,1.7129176
164,-6.1113024
165,1.2023066
166,-4.8488436
167,2.5202265
168,-5.3115478
169,-6.1113024
170,0.13323402
171,0.46456283
172,1.2899255
173,-6.0640883
174,-5.2704306
175,7.1721983
176,4.7273912
177,0.3785905
178,-0.66430557
179,-5.655274
180,-6.1113024
181,3.7459168
182,-0.67131233
183,2.305327
184,2.634154
185,2.1692753
186,-6.1113024
187,-6.2160025
188,-4.008266
189,1.0556991
190,4.5295267
191,1.7139709
192,1.3234177
193,-6.1113024
194,1.399064
195,6.6388917
196,5.745801
197,1.3970702
198,-6.0364313
199,-6.1113024
200,0.81834424
201,-6.1113024
202,-6.1113024
203,0.8773708
204,-6.1113024
205,-6.1113024
206,1.4094054
207,0.79375875
208,4.059849
209,-5.9603906
210,-6.1113024
211,-4.6460924
212,-2.9261315
213,-5.03701
214,-6.1113024
215,3.3369472
216,-6.1113024
217,2.8412967
218,-6.1113024
219,3.0737453
220,-1.2877948
221,0.8427403
222,-6.1113024
223,2.3923306
224,5.1644497
225,3.753328
226,-1.8452585
227,-5.1260457
228,2.4985313
229,2.7299802
230,2.308154
231,4.8086677
232,3.6541815
233,1.6135921
234,3.188352
235,1.6260225
236,2.281515
237,0.5736743
238,-0.9750458
239,-0.25255167
240,5.9584
241,1.8813652
242,0.7126133
243,-6.0342994
244,-0.26064056
245,2.6643848
246,1.6477704
247,-5.1312037
248,5.0961637
249,-6.18544
250,1.1821827
251,2.7217143
252,3.7999759
253,4.347619
254,3.0829337
255,1.8862511
256,-6.1113024
257,-6.1113024
258,-6.1113024
259,-2.5265126
260,4.103617
261,3.034327
262,-6.1113024
263,-6.1113024
264,4.8695617
265,-6.1113024
266,-1.8706713
267,-6.1113024
268,0.6680645
269,2.7264726
270,-6.256154
271,-0.6604693
272,3.8027039
273,0.67038417
274,-6.075763
275,-6.1113024
276,2.8281908
277,-6.1113024
278,-0.828169
279,1.9018204
280,-6.1113024
281,-6.1113024
282,1.4882692
283,-6.1113024
284,2.063601
285,-6.1113024
286,-6.1113024
287,0.5777712
288,-6.075763
289,-6.1113024
290,-6.1113024
291,-0.41305774
292,3.7610211
293,-6.1113024
294,-4.536967
295,2.3833852
296,1.9491678
297,-5.727967
298,-0.89423335
299,-6.1113024
300,-0.7635803
301,0.759675
302,-6.1113024
303,0.4662821
304,3.4457014
305,-0.616477
306,-1.5940115
307,6.8385267
308,-4.9605794
309,1.8597423
310,3.55157
311,-0.3071165
312,-6.1113024
313,-1.6309547
314,-6.1113024
315,-6.1113024
316,0.45605785
317,-6.1113024
318,0.5700142
319,4.222232
320,-6.1113024
321,-3.343344
322,3.738299
323,-5.655274
324,-6.1113024
325,-4.5032454
326,-0.66401184
327,-5.173754
328,3.0502539
329,-6.1113024
330,-6.1113024
331,3.331634
332,-4.517102
333,0.20032942
334,-5.349227
335,-4.0584073
336,-6.1675663
337,2.53208
338,-6.1113024
339,4.562719
340,2.9302146
341,-6.1113024
342,-6.1113024
343,6.1727386
344,-6.1113024
345,-6.1113024
346,2.4646697
347,3.734122
348,-6.0640883
349,7.584059
350,-1.9179595
351,-3.9400105
352,-4.7051253
353,0.5601118
354,-6.1113024
355,-0.20240611
356,-6.1113024
357,0.42906228
358,-1.0807512
359,-3.5541568
360,1.65231
361,2.157488
362,2.3945603
363,-6.1113024
364,-6.1113024
365,5.0378094
366,5.2247024
367,1.2859862
368,-0.79795194
369,-4.913597
370,-0.9265057
371,-6.1113024
372,3.4223514
373,-6.1113024
374,0.88861096
375,-6.1113024
376,-0.88537323
377,1.6334684
378,-2.7582734
379,2.7614403
380,-6.1113024
381,1.4379463
382,-6.1113024
383,-6.1113024
384,-6.1113024
385,-6.1113024
386,-6.1113024
387,-6.1113024
388,-6.075763
389,-6.0640883
390,-0.18443185
391,-5.457751
392,3.8515387
393,4.0739202
394,0.622728
395,4.8933525
396,-5.4862804
397,4.6302147
398,3.1096668
399,2.6732554
400,-6.1113024
401,-6.1113024
402,2.2072303
403,-0.347701
404,-5.0431314
405,1.616328
406,-6.1113024
407,0.31870186
408,-2.5287268
409,3.6717055
410,3.975511
411,3.097285
412,-4.1123567
413,-2.6516583
414,3.6616437
415,-3.4866116
416,6.050531
417,-5.6478004
418,-6.1113024
419,1.6267127
420,3.4304454
421,0.66021836
422,-1.5359068
423,3.0679235
424,1.8355985
425,3.6857991
426,-0.5278765
427,1.8948939
428,-5.8271236
429,-6.1113024
430,0.38376185
431,-6.1113024
432,-6.1113024
433,0.89905494
434,3.428994
435,-6.1113024
436,1.1997162
437,1.2798299
438,-1.9361413
439,0.96988523
440,3.4723372
441,2.0309863
442,-0.14957875
443,-6.075763
444,1.4184598
445,-6.1113024
446,4.500282
447,-0.9568932
448,-0.36593765
449,-6.373671
450,-6.1113024
451,-6.1113024
452,-6.1113024
453,-0.46444106
454,-6.1113024
455,0.5413608
456,0.5033508
457,-6.1113024
458,-6.1113024
459,-5.962166
460,4.691895
461,0.16818625
462,-6.1113024
463,-2.2712755
464,1.8082093
465,-6.1113024
466,0.23261845
467,2.4058442
468,2.3212695
469,3.4100478
470,-0.99836564
471,-0.6736537
472,4.5189786
473,-3.1969478
474,0.92035365
475,1.1649675
476,-6.1113024
477,-6.1113024
478,0.17400682
479,-1.5420916
480,-6.1113024
481,-5.9953837
482,3.3251307
483,0.9502348
484,3.043832
485,1.2702022
486,0.055805385
487,1.1134921
488,-6.1113024
489,0.97059023
490,4.3599653
491,-1.7640297
492,-6.1113024
493,-1.2353455
494,5.1941266
495,-2.330006
496,-6.1113024
497,5.787612
498,3.6974704
499,-6.1113024
500,-6.1113024
501,3.8006825
502,0.69486356
503,4.4971676
504,-6.1113024
505,-6.1113024
506,-6.1113024
507,2.6772068
508,-0.41201377
509,-6.1113024
510,-0.60222113
511,-0.8800405
512,-6.1113024
513,3.4175258
514,3.8060975
515,-6.1113024
516,3.634254
517,-0.1250881
518,2.6118011
519,-0.7028948
520,-2.957492
521,2.8949742
522,-6.1113024
523,5.561484
524,-6.1113024
525,-6.1113024
526,2.85709
527,5.884917
528,1.8854129
529,-6.1113024
